#Reading 1073 moment catalogues...
#Found a total of 333175 Gaia/VIS stars for LONG_202407 with exposure time 560.52
  EXT   Fit    Not    RMSratio   C0           C1         C2        RAT0.75  RAT1.75  RAT2.75 
  1-1   8848   9368   0.0211   -0.416299   0.415621  -0.065903    -0.1417   0.1092   0.2283
1-1.E   1917   2008   0.0202   -0.421664   0.413541  -0.064910    -0.1480   0.1032   0.2247
1-1.F   2275   2410   0.0194   -0.423349   0.418987  -0.067129    -0.1469   0.1043   0.2212
1-1.G   2309   2450   0.0202   -0.410965   0.413841  -0.065757    -0.1376   0.1119   0.2298
1-1.H   2355   2500   0.0215   -0.403897   0.406853  -0.063034    -0.1342   0.1151   0.2383
  1-2   8454   8839   0.0241   -0.394640   0.406918  -0.065459    -0.1263   0.1170   0.2293
1-2.E   2297   2419   0.0198   -0.403609   0.411888  -0.066410    -0.1320   0.1138   0.2269
1-2.F   2176   2281   0.0205   -0.407202   0.403461  -0.064628    -0.1410   0.1009   0.2136
1-2.G   1960   2076   0.0211   -0.377745   0.391805  -0.061963    -0.1187   0.1182   0.2311
1-2.H   1940   2063   0.0207   -0.376260   0.405920  -0.064948    -0.1084   0.1352   0.2489
  1-3   8721   9169   0.0230   -0.400531   0.409519  -0.065629    -0.1303   0.1151   0.2293
1-3.E   2210   2328   0.0196   -0.415037   0.408571  -0.065462    -0.1454   0.0995   0.2135
1-3.F   2202   2317   0.0204   -0.403646   0.411870  -0.066659    -0.1322   0.1130   0.2249
1-3.G   2149   2287   0.0210   -0.392817   0.413456  -0.066717    -0.1203   0.1264   0.2396
1-3.H   2107   2237   0.0207   -0.392058   0.404925  -0.063582    -0.1241   0.1218   0.2407
  1-4   9132   9462   0.0267   -0.398518   0.408568  -0.065853    -0.1291   0.1148   0.2270
1-4.E   2266   2397   0.0200   -0.403866   0.412363  -0.067034    -0.1323   0.1125   0.2232
1-4.F   2207   2336   0.0197   -0.424896   0.408791  -0.065428    -0.1551   0.0901   0.2045
1-4.G   2293   2399   0.0199   -0.380752   0.411418  -0.066047    -0.1093   0.1370   0.2512
1-4.H   2223   2330   0.0199   -0.392047   0.404681  -0.065134    -0.1252   0.1167   0.2283
  1-5   9165   9430   0.0300   -0.387115   0.413465  -0.067857    -0.1152   0.1286   0.2367
1-5.E   2166   2266   0.0191   -0.365319   0.412860  -0.067403    -0.0936   0.1508   0.2603
1-5.F   2247   2357   0.0187   -0.368565   0.410479  -0.066977    -0.0984   0.1447   0.2537
1-5.G   2333   2466   0.0195   -0.421778   0.413297  -0.067378    -0.1497   0.0951   0.2052
1-5.H   2240   2341   0.0186   -0.391670   0.409704  -0.066395    -0.1217   0.1220   0.2329
  1-6   7552   7833   0.0224   -0.395397   0.407150  -0.066960    -0.1277   0.1121   0.2179
1-6.E   1907   1988   0.0169   -0.413479   0.410156  -0.067716    -0.1440   0.0969   0.2023
1-6.F   2224   2338   0.0178   -0.411318   0.417109  -0.069965    -0.1378   0.1044   0.2066
1-6.G   2131   2234   0.0185   -0.376269   0.402261  -0.065383    -0.1114   0.1275   0.2355
1-6.H   1217   1273   0.0164   -0.385439   0.410194  -0.067964    -0.1160   0.1243   0.2286
  2-1   8743   9244   0.0223   -0.380331   0.411754  -0.065564    -0.1084   0.1394   0.2562
