#|   catalogue                                                 |      R2  |    COMA1 |  COMA 2 |    ELL 1 |   ELL 2 |   TREF 1 |  TREF 2 |
| C_20240701_001045_W_52148000.VIS.bin_01_01_stars2_mom.cat    |    1.978 |   0.0325 | -0.0242 |  -0.0236 |  0.0065 |  -0.2363 |  0.0251 |
| C_20240701_003150_W_52148082.VIS.bin_01_01_stars2_mom.cat    |    1.973 |   0.0329 | -0.0180 |  -0.0233 |  0.0047 |  -0.2397 |  0.0321 |
| C_20240701_003150_W_52148082.VIS.bin_02_01_stars2_mom.cat    |    1.994 |   0.0225 | -0.0206 |  -0.0230 |  0.0096 |  -0.2350 |  0.0296 |
| C_20240701_004936_W_52148102.VIS.bin_01_01_stars2_mom.cat    |    1.971 |   0.0318 | -0.0179 |  -0.0213 |  0.0042 |  -0.2361 |  0.0261 |
| C_20240701_004936_W_52148102.VIS.bin_02_01_stars2_mom.cat    |    1.942 |   0.0274 | -0.0185 |  -0.0198 |  0.0021 |  -0.2383 |  0.0243 |
| C_20240701_010722_W_52148184.VIS.bin_01_01_stars2_mom.cat    |    1.977 |   0.0305 | -0.0199 |  -0.0246 |  0.0063 |  -0.2337 |  0.0282 |
| C_20240701_012508_W_52148200.VIS.bin_01_01_stars2_mom.cat    |    1.966 |   0.0300 | -0.0181 |  -0.0206 |  0.0051 |  -0.2356 |  0.0295 |
| C_20240701_014604_W_52148282.VIS.bin_01_01_stars2_mom.cat    |    1.973 |   0.0306 | -0.0149 |  -0.0257 |  0.0068 |  -0.2369 |  0.0282 |
| C_20240701_014604_W_52148282.VIS.bin_02_01_stars2_mom.cat    |    1.962 |   0.0261 | -0.0216 |  -0.0266 |  0.0004 |  -0.2347 |  0.0327 |
| C_20240701_020350_W_52148302.VIS.bin_01_01_stars2_mom.cat    |    1.971 |   0.0333 | -0.0164 |  -0.0203 |  0.0053 |  -0.2419 |  0.0265 |
| C_20240701_020350_W_52148302.VIS.bin_02_01_stars2_mom.cat    |    1.973 |   0.0250 | -0.0156 |  -0.0310 |  0.0070 |  -0.2362 |  0.0308 |
| C_20240701_022136_W_52148386.VIS.bin_01_01_stars2_mom.cat    |    1.962 |   0.0273 | -0.0183 |  -0.0177 |  0.0034 |  -0.2386 |  0.0292 |
| C_20240701_023922_W_52148408.VIS.bin_01_01_stars2_mom.cat    |    1.978 |   0.0321 | -0.0156 |  -0.0210 |  0.0058 |  -0.2381 |  0.0315 |
| C_20240701_030001_W_52148482.VIS.bin_01_01_stars2_mom.cat    |    1.979 |   0.0326 | -0.0206 |  -0.0209 |  0.0067 |  -0.2389 |  0.0260 |
| C_20240701_030001_W_52148482.VIS.bin_02_01_stars2_mom.cat    |    1.982 |   0.0268 | -0.0149 |  -0.0327 |  0.0046 |  -0.2339 |  0.0229 |
| C_20240701_031747_W_52148502.VIS.bin_01_01_stars2_mom.cat    |    1.968 |   0.0316 | -0.0210 |  -0.0152 |  0.0076 |  -0.2397 |  0.0315 |
| C_20240701_031747_W_52148502.VIS.bin_02_01_stars2_mom.cat    |    1.954 |   0.0269 | -0.0230 |  -0.0180 |  0.0019 |  -0.2394 |  0.0378 |
| C_20240701_033533_W_52148584.VIS.bin_01_01_stars2_mom.cat    |    1.973 |   0.0338 | -0.0215 |  -0.0190 |  0.0064 |  -0.2374 |  0.0279 |
| C_20240701_035319_W_52148600.VIS.bin_01_01_stars2_mom.cat    |    1.972 |   0.0298 | -0.0219 |  -0.0211 |  0.0051 |  -0.2346 |  0.0259 |
| C_20240701_041358_W_52148682.VIS.bin_01_01_stars2_mom.cat    |    1.975 |   0.0327 | -0.0130 |  -0.0217 |  0.0058 |  -0.2370 |  0.0297 |
| C_20240701_041358_W_52148682.VIS.bin_02_01_stars2_mom.cat    |    1.970 |   0.0264 | -0.0255 |  -0.0217 |  0.0000 |  -0.2393 |  0.0284 |
| C_20240701_043144_W_52148702.VIS.bin_01_01_stars2_mom.cat    |    1.976 |   0.0340 | -0.0201 |  -0.0193 |  0.0084 |  -0.2343 |  0.0323 |
| C_20240701_043144_W_52148702.VIS.bin_02_01_stars2_mom.cat    |    1.995 |   0.0278 | -0.0133 |  -0.0412 |  0.0002 |  -0.2293 |  0.0212 |
| C_20240701_044930_W_52148786.VIS.bin_01_01_stars2_mom.cat    |    1.980 |   0.0325 | -0.0161 |  -0.0224 |  0.0103 |  -0.2401 |  0.0271 |
| C_20240701_050716_W_52148808.VIS.bin_01_01_stars2_mom.cat    |    1.967 |   0.0312 | -0.0137 |  -0.0209 |  0.0037 |  -0.2335 |  0.0308 |
| C_20240701_052758_W_52148882.VIS.bin_01_01_stars2_mom.cat    |    1.965 |   0.0317 | -0.0212 |  -0.0183 |  0.0047 |  -0.2398 |  0.0263 |
| C_20240701_052758_W_52148882.VIS.bin_02_01_stars2_mom.cat    |    1.948 |   0.0262 | -0.0152 |  -0.0178 | -0.0010 |  -0.2359 |  0.0272 |
| C_20240701_054544_W_52148902.VIS.bin_01_01_stars2_mom.cat    |    1.982 |   0.0331 | -0.0267 |  -0.0223 |  0.0077 |  -0.2327 |  0.0253 |
| C_20240701_054544_W_52148902.VIS.bin_02_01_stars2_mom.cat    |    1.989 |   0.0239 | -0.0114 |  -0.0383 |  0.0051 |  -0.2285 |  0.0326 |
| C_20240701_060330_W_52148984.VIS.bin_01_01_stars2_mom.cat    |    2.116 |   0.0114 |  0.0729 |  -0.0828 | -0.0162 |  -0.1635 | -0.0494 |
| C_20240701_062116_W_52148A00.VIS.bin_01_01_stars2_mom.cat    |    1.982 |   0.0335 | -0.0226 |  -0.0202 |  0.0071 |  -0.2363 |  0.0256 |
| C_20240701_064154_W_52148A82.VIS.bin_01_01_stars2_mom.cat    |    1.977 |   0.0341 | -0.0233 |  -0.0200 |  0.0078 |  -0.2396 |  0.0273 |
| C_20240701_064154_W_52148A82.VIS.bin_02_01_stars2_mom.cat    |    1.986 |   0.0293 | -0.0161 |  -0.0319 |  0.0077 |  -0.2276 |  0.0319 |
| C_20240701_065940_W_52148B02.VIS.bin_01_01_stars2_mom.cat    |    1.980 |   0.0333 | -0.0202 |  -0.0197 |  0.0049 |  -0.2381 |  0.0329 |
| C_20240701_065940_W_52148B02.VIS.bin_02_01_stars2_mom.cat    |    1.967 |   0.0301 | -0.0191 |  -0.0240 | -0.0016 |  -0.2276 |  0.0327 |
| C_20240701_071726_W_52148B86.VIS.bin_01_01_stars2_mom.cat    |    1.975 |   0.0307 | -0.0164 |  -0.0195 |  0.0059 |  -0.2378 |  0.0277 |
| C_20240701_073512_W_52148C08.VIS.bin_01_01_stars2_mom.cat    |    1.965 |   0.0349 | -0.0187 |  -0.0167 |  0.0068 |  -0.2352 |  0.0310 |
| C_20240701_075551_W_52148C82.VIS.bin_01_01_stars2_mom.cat    |    1.985 |   0.0372 | -0.0189 |  -0.0201 |  0.0050 |  -0.2402 |  0.0341 |
| C_20240701_075551_W_52148C82.VIS.bin_02_01_stars2_mom.cat    |    2.016 |   0.0308 | -0.0054 |  -0.0420 |  0.0159 |  -0.2304 |  0.0212 |
