image ; R2 ; e1 ; e2 ; score ; EASname 
C_20240701_001045_W_52148000.VIS.bin_01_01_  ;    1.978 ;  -0.0236 ;   0.0065 ;    15.06 ;  EUC_LE1_VIS-02370-1-W_20240701T001045.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_003150_W_52148082.VIS.bin_01_01_  ;    1.973 ;  -0.0233 ;   0.0047 ;    11.24 ;  EUC_LE1_VIS-02371-1-W_20240701T003150.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_003150_W_52148082.VIS.bin_02_01_  ;    1.994 ;  -0.0230 ;   0.0096 ;    30.75 ;  EUC_LE1_VIS-02371-1-W_20240701T003150.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_004936_W_52148102.VIS.bin_01_01_  ;    1.971 ;  -0.0213 ;   0.0042 ;    12.44 ;  EUC_LE1_VIS-02371-1-W_20240701T004936.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_004936_W_52148102.VIS.bin_02_01_  ;    1.942 ;  -0.0198 ;   0.0021 ;     3.59 ;  EUC_LE1_VIS-02371-1-W_20240701T004936.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_010722_W_52148184.VIS.bin_01_01_  ;    1.977 ;  -0.0246 ;   0.0063 ;    13.20 ;  EUC_LE1_VIS-02371-1-W_20240701T010722.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_012508_W_52148200.VIS.bin_01_01_  ;    1.966 ;  -0.0206 ;   0.0051 ;    11.76 ;  EUC_LE1_VIS-02371-1-W_20240701T012508.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_014604_W_52148282.VIS.bin_01_01_  ;    1.973 ;  -0.0257 ;   0.0068 ;    11.23 ;  EUC_LE1_VIS-02372-1-W_20240701T014604.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_014604_W_52148282.VIS.bin_02_01_  ;    1.962 ;  -0.0266 ;   0.0004 ;     5.07 ;  EUC_LE1_VIS-02372-1-W_20240701T014604.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_020350_W_52148302.VIS.bin_01_01_  ;    1.971 ;  -0.0203 ;   0.0053 ;    14.61 ;  EUC_LE1_VIS-02372-1-W_20240701T020350.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_020350_W_52148302.VIS.bin_02_01_  ;    1.973 ;  -0.0310 ;   0.0070 ;     8.42 ;  EUC_LE1_VIS-02372-1-W_20240701T020350.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_022136_W_52148386.VIS.bin_01_01_  ;    1.962 ;  -0.0177 ;   0.0034 ;    12.94 ;  EUC_LE1_VIS-02372-1-W_20240701T022136.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_023922_W_52148408.VIS.bin_01_01_  ;    1.978 ;  -0.0210 ;   0.0058 ;    17.65 ;  EUC_LE1_VIS-02372-1-W_20240701T023922.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_030001_W_52148482.VIS.bin_01_01_  ;    1.979 ;  -0.0209 ;   0.0067 ;    19.52 ;  EUC_LE1_VIS-02373-1-W_20240701T030001.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_030001_W_52148482.VIS.bin_02_01_  ;    1.982 ;  -0.0327 ;   0.0046 ;     7.54 ;  EUC_LE1_VIS-02373-1-W_20240701T030001.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_031747_W_52148502.VIS.bin_01_01_  ;    1.968 ;  -0.0152 ;   0.0076 ;    24.53 ;  EUC_LE1_VIS-02373-1-W_20240701T031747.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_031747_W_52148502.VIS.bin_02_01_  ;    1.954 ;  -0.0180 ;   0.0019 ;     9.20 ;  EUC_LE1_VIS-02373-1-W_20240701T031747.000000Z_02_01_01.00_EUCLIDSOC
