image , R2 , e1 , e2 , score 
C_20240701_001045_W_52148000.VIS.bin_01_01_  ,    1.978 ,  -0.0236 ,   0.0065 ,    15.06
C_20240701_003150_W_52148082.VIS.bin_01_01_  ,    1.973 ,  -0.0233 ,   0.0047 ,    11.24
C_20240701_003150_W_52148082.VIS.bin_02_01_  ,    1.994 ,  -0.0230 ,   0.0096 ,    30.75
C_20240701_004936_W_52148102.VIS.bin_01_01_  ,    1.971 ,  -0.0213 ,   0.0042 ,    12.44
C_20240701_004936_W_52148102.VIS.bin_02_01_  ,    1.942 ,  -0.0198 ,   0.0021 ,     3.59
C_20240701_010722_W_52148184.VIS.bin_01_01_  ,    1.977 ,  -0.0246 ,   0.0063 ,    13.20
C_20240701_012508_W_52148200.VIS.bin_01_01_  ,    1.966 ,  -0.0206 ,   0.0051 ,    11.76
C_20240701_014604_W_52148282.VIS.bin_01_01_  ,    1.973 ,  -0.0257 ,   0.0068 ,    11.23
C_20240701_014604_W_52148282.VIS.bin_02_01_  ,    1.962 ,  -0.0266 ,   0.0004 ,     5.07
C_20240701_020350_W_52148302.VIS.bin_01_01_  ,    1.971 ,  -0.0203 ,   0.0053 ,    14.61
C_20240701_020350_W_52148302.VIS.bin_02_01_  ,    1.973 ,  -0.0310 ,   0.0070 ,     8.42
C_20240701_022136_W_52148386.VIS.bin_01_01_  ,    1.962 ,  -0.0177 ,   0.0034 ,    12.94
C_20240701_023922_W_52148408.VIS.bin_01_01_  ,    1.978 ,  -0.0210 ,   0.0058 ,    17.65
C_20240701_030001_W_52148482.VIS.bin_01_01_  ,    1.979 ,  -0.0209 ,   0.0067 ,    19.52
C_20240701_030001_W_52148482.VIS.bin_02_01_  ,    1.982 ,  -0.0327 ,   0.0046 ,     7.54
C_20240701_031747_W_52148502.VIS.bin_01_01_  ,    1.968 ,  -0.0152 ,   0.0076 ,    24.53
C_20240701_031747_W_52148502.VIS.bin_02_01_  ,    1.954 ,  -0.0180 ,   0.0019 ,     9.20
C_20240701_033533_W_52148584.VIS.bin_01_01_  ,    1.973 ,  -0.0190 ,   0.0064 ,    18.83
C_20240701_035319_W_52148600.VIS.bin_01_01_  ,    1.972 ,  -0.0211 ,   0.0051 ,    13.82
C_20240701_041358_W_52148682.VIS.bin_01_01_  ,    1.975 ,  -0.0217 ,   0.0058 ,    15.16
C_20240701_041358_W_52148682.VIS.bin_02_01_  ,    1.970 ,  -0.0217 ,   0.0000 ,    12.49
C_20240701_043144_W_52148702.VIS.bin_01_01_  ,    1.976 ,  -0.0193 ,   0.0084 ,    23.46
C_20240701_043144_W_52148702.VIS.bin_02_01_  ,    1.995 ,  -0.0412 ,   0.0002 ,    10.97
C_20240701_044930_W_52148786.VIS.bin_01_01_  ,    1.980 ,  -0.0224 ,   0.0103 ,    25.66
C_20240701_050716_W_52148808.VIS.bin_01_01_  ,    1.967 ,  -0.0209 ,   0.0037 ,    10.95
C_20240701_052758_W_52148882.VIS.bin_01_01_  ,    1.965 ,  -0.0183 ,   0.0047 ,    14.10
C_20240701_052758_W_52148882.VIS.bin_02_01_  ,    1.948 ,  -0.0178 ,  -0.0010 ,     9.76
C_20240701_054544_W_52148902.VIS.bin_01_01_  ,    1.982 ,  -0.0223 ,   0.0077 ,    20.73
C_20240701_054544_W_52148902.VIS.bin_02_01_  ,    1.989 ,  -0.0383 ,   0.0051 ,     9.03
C_20240701_060330_W_52148984.VIS.bin_01_01_  ,    2.116 ,  -0.0828 ,  -0.0162 ,   151.95
C_20240701_062116_W_52148A00.VIS.bin_01_01_  ,    1.982 ,  -0.0202 ,   0.0071 ,    22.92
C_20240701_064154_W_52148A82.VIS.bin_01_01_  ,    1.977 ,  -0.0200 ,   0.0078 ,    21.69
C_20240701_064154_W_52148A82.VIS.bin_02_01_  ,    1.986 ,  -0.0319 ,   0.0077 ,    13.12
C_20240701_065940_W_52148B02.VIS.bin_01_01_  ,    1.980 ,  -0.0197 ,   0.0049 ,    19.90
C_20240701_065940_W_52148B02.VIS.bin_02_01_  ,    1.967 ,  -0.0240 ,  -0.0016 ,    10.97
C_20240701_071726_W_52148B86.VIS.bin_01_01_  ,    1.975 ,  -0.0195 ,   0.0059 ,    18.47
C_20240701_073512_W_52148C08.VIS.bin_01_01_  ,    1.965 ,  -0.0167 ,   0.0068 ,    18.95
C_20240701_075551_W_52148C82.VIS.bin_01_01_  ,    1.985 ,  -0.0201 ,   0.0050 ,    22.25
C_20240701_075551_W_52148C82.VIS.bin_02_01_  ,    2.016 ,  -0.0420 ,   0.0159 ,    48.43
C_20240701_081337_W_52148D02.VIS.bin_01_01_  ,    1.985 ,  -0.0232 ,   0.0047 ,    17.14
C_20240701_081337_W_52148D02.VIS.bin_02_01_  ,    1.974 ,  -0.0253 ,   0.0017 ,     9.07
C_20240701_083123_W_52148D84.VIS.bin_01_01_  ,    1.987 ,  -0.0276 ,   0.0039 ,    12.39
C_20240701_084909_W_52148E00.VIS.bin_01_01_  ,    1.986 ,  -0.0204 ,   0.0050 ,    22.34
C_20240701_090949_W_52148E82.VIS.bin_01_01_  ,    1.985 ,  -0.0255 ,   0.0074 ,    17.54
C_20240701_090949_W_52148E82.VIS.bin_02_01_  ,    1.952 ,  -0.0239 ,  -0.0010 ,     5.70
C_20240701_092735_W_52148F02.VIS.bin_01_01_  ,    1.977 ,  -0.0196 ,   0.0070 ,    20.92
C_20240701_092735_W_52148F02.VIS.bin_02_01_  ,    1.960 ,  -0.0233 ,   0.0006 ,     6.55
C_20240701_094521_W_52148F86.VIS.bin_01_01_  ,    1.975 ,  -0.0182 ,   0.0047 ,    19.44
C_20240701_100307_W_52149000.VIS.bin_01_01_  ,    1.966 ,  -0.0177 ,   0.0064 ,    17.29
C_20240701_102349_W_52149082.VIS.bin_01_01_  ,    1.984 ,  -0.0227 ,   0.0059 ,    18.47
C_20240701_102349_W_52149082.VIS.bin_02_01_  ,    1.974 ,  -0.0273 ,   0.0047 ,     7.94
C_20240701_104135_W_52149102.VIS.bin_01_01_  ,    1.982 ,  -0.0223 ,   0.0066 ,    18.91
C_20240701_104135_W_52149102.VIS.bin_02_01_  ,    1.968 ,  -0.0189 ,  -0.0009 ,    16.41
